"Authorize Tempo MIL", "Autoriza Tempo MIL"
"Start Date Time", "Fecha Inicio Tempo"
"End Date Time", "Fecha Fin Tempo"
"Cod. AC Milan season", "Cód. Temporada Milan",
"% Dcto Season", "% Dcto Temporada"
"Authorize Tempo OPT", "Autoriza Tempo OPT"
"Cod. OPTIMUS season", "Cód. Temporada OPTIMUS"
"Milan Payment Condition", "Condición de Pago Milan"
"% Cash Discount", "% Descuento Contado"
"% Cash Discount Optimus", "% Descuento Contado Optimus"
"% Discount Fact. Optimus", "% Descuento Fact. Optimus"
"Optimus Payment Condition", "Condicion Pago Optimus"
"% Discount Fact. Milan", "% Descuento Fact. Milan"
"Golden Quota", "Cupo Dorado"
"Date of Birth", "Fecha de Nacimiento"
"Date Active Until", "Fecha Activo Hasta"
"Phone 2", "Teléfono 2"
"Cell", "Cellular"
"Inactivo", "Inactive"
"Vendedor", "Seller"
"Territorio", "Territory"
"Phone Number2", "Teléfono 2"
"Mobile phone", "Teléfono Movil"
"Model", "Modelo"
"Payment Condition", "Condición de Pago"
"Item Group", "Grupo de Artículos"
"Volume", "Volumen"
"Height", "Altura"
"Width", "Ancho"
"Length", "Largo"
